,guessWord,genreHint,directorsHint,studioHint,sentenceInfo
0,Percy Jackson & the Olympians: The Lightning Thief,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,20th Century Fox,5_7_1_3_10_3_9_5
1,Please Give,Comedy,Nicole Holofcener,Sony Pictures Classics,6_4
2,10,"Comedy, Romance",Blake Edwards,Waner Bros.,2
3,12 Angry Men (Twelve Angry Men),"Classics, Drama",Sidney Lumet,Criterion Collection,2_5_3_7_5_4
4,"20,000 Leagues Under The Sea","Action & Adventure, Drama, Kids & Family",Richard Fleischer,Disney,6_7_5_3_3
5,"10,000 B.C.","Action & Adventure, Classics, Drama",Roland Emmerich,Warner Bros. Pictures,6_4
6,The 39 Steps,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,Gaumont British Distributors,3_2_5
7,3:10 to Yuma,"Classics, Drama, Western",Delmer Daves,Columbia Pictures,4_2_4
8,Charly (A Heartbeat Away),"Comedy, Drama, Romance",Adam Thomas Anderegg,Excel Entertainment,6_2_9_5
9,Abraham Lincoln,"Classics, Drama",D.W. Griffith,United Artists,7_7
10,Dark Water,"Art House & International, Horror, Mystery & Suspense",Hideo Nakata,Toho Company Ltd,4_5
11,The Accused,"Drama, Mystery & Suspense",Jonathan Kaplan,Paramount Pictures,3_7
12,The Lost City,Drama,Andy Garcia,Magnolia Pictures,3_4_4
13,The Breaking Point,Drama,Michael Curtiz,Warner Home Video,3_8_5
14,Adam's Rib,"Classics, Comedy, Romance",George Cukor,MGM Home Entertainment,6_3
15,The Bridge of San Luis Rey,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,Fine Line Features,3_6_2_3_4_3
16,The Prowler (Cost of Living ),"Drama, Mystery & Suspense",Joseph Losey,VCI Entertainment,3_7_5_2_6_1
17,Criminal,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs",Warner Bros. Pictures,8
18,The Adventures of Mark Twain,"Action & Adventure, Animation, Kids & Family",Will Vinton,Eureka Entertainment Ltd,3_10_2_4_5
19,Deep Blue,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill",Miramax Flims,4_4
20,The Adventures of Robin Hood,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley",Warner Bros.,3_10_2_5_4
21,Man Hunt,"Classics, Drama, Mystery & Suspense",Fritz Lang,Twentieth Century Fox,3_4
22,Dead End,"Comedy, Horror, Mystery & Suspense","Jean-Baptiste Andrea, Fabrice Canepa, Jean-Bapiste Andrea",LionsGate Entertainment,4_3
23,Bandwagon,Comedy,John Schultz,Avalanche Entertainment,9
24,Whore,"Art House & International, Drama",Mar�a Lid�n,Dolores Pictures LLC,5
25,Tristan & Isolde,"Drama, Science Fiction & Fantasy, Romance",Kevin Reynolds,20th Century Fox,7_1_6
26,Wild Side,"Art House & International, Drama",S�bastien Lifshitz,Wellspring,4_4
27,A Tale of Two Pizzas,Comedy,Vincent Sassone,,1_4_2_3_6
28,Running Scared,"Action & Adventure, Drama, Mystery & Suspense",Wayne Kramer,New Line Cinema,7_6
29,Going the Distance,Comedy,Mark Griffiths,S�ville Pictures,5_3_8
30,Ultraviolet,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Kurt Wimmer,Sony Pictures,11
31,Home of the Brave,"Action & Adventure, Documentary, Drama, Special Interest",Paola di Florio,Emerging Pictures,4_2_3_5
32,Arthur and the Invisibles (Arthur and the Minimoys),"Animation, Kids & Family, Science Fiction & Fantasy",Luc Besson,MGM,6_3_3_10_7_3_3_9
33,Malevolence,Horror,Stevan Mena,Anchor Bay Entertainment,11
34,Eternal,"Horror, Mystery & Suspense","Wilhelm Liebenberg, Federico Sanchez",Regent Releasing,7
35,A Farewell To Arms,"Classics, Drama, Romance","Charles Vidor, John Hudson, John Huston",Fox,1_8_2_4
36,The Narrow Margin,"Classics, Drama, Mystery & Suspense",Richard Fleischer,Warner Home Video,3_6_6
37,The Matador,"Action & Adventure, Comedy, Drama, Mystery & Suspense","Bob Yari, Richard Shepard",The Weinstein Company,3_7
38,Smile,"Art House & International, Comedy, Drama","Jeff Kramer, Jeffrey Kramer",Dark Forest Releasing,5
39,The Intruder (L'Intrus),"Art House & International, Drama",Claire Denis,Wellspring,3_8_10
40,Saint Ralph,"Comedy, Drama",Michael McGowan,IDP,5_5
41,The Baxter,"Comedy, Romance",Michael Showalter,IFC Films,3_6
42,Oliver Twist,"Drama, Kids & Family",Roman Polanski,Sony Pictures,6_5
43,The Alamo,"Action & Adventure, Classics, Drama, Western",John Wayne,Batjac Productions,3_5
44,G,"Drama, Romance",Christopher Scott Cherot,Slow Hand Cinema,1
45,Alexander the Great,Classics,Robert Rossen,United Artists,9_3_5
46,Alfie,"Classics, Comedy, Drama, Romance",Lewis Gilbert,Paramount Pictures,5
47,Neverwas,"Drama, Mystery & Suspense",Joshua Michael Stern,Senator Film,8
48,The Second Chance,"Drama, Faith & Spirituality",Steve Taylor,Sony Pictures,3_6_6
49,Moonlight,"Drama, Mystery & Suspense",Paula Van der Oest,Indican Pictures,9
50,Aliens,"Action & Adventure, Horror, Science Fiction & Fantasy",James Cameron,20th Century Fox,6
51,Rise: Blood Hunter,"Horror, Mystery & Suspense",Sebastian Gutierrez,IDP Distribution,5_5_6
52,All About Eve,"Classics, Drama",Joseph L. Mankiewicz,20th Century Fox,3_5_3
53,When Do We Eat?,Comedy,Salvador Litvak,ThinkFilm,4_2_2_4
54,The Mostly Unfabulous Social Life of Ethan Green,"Comedy, Drama",George Bamber,Regent Releasing,3_6_10_6_4_2_5_5
55,Dirty,Drama,Chris Fisher,SNP Inc.,5
56,Stay Alive,"Horror, Mystery & Suspense",William Brent Bell,Buena Vista,4_5
57,All of Me,"Comedy, Science Fiction & Fantasy",Carl Reiner,HBO Video,3_2_2
58,All Quiet on the Western Front,Drama,Delbert Mann,Unknown,3_5_2_3_7_5
59,Dreamland,"Art House & International, Drama",Jason Matzner,Dreamland Motion Picture Co.,9
60,Independent Lens,"Documentary, Special Interest","Mark Francis, Marc Francis, Nick Francis",California Newsreel,11_4
61,All the King's Men,"Classics, Drama",Robert Rossen,Sony Pictures Home Entertainment,3_3_6_3
62,Street Fight,"Documentary, Special Interest",Marshall Curry,Marshall Curry Productions,6_5
63,The Motel,"Comedy, Drama",Michael Kang,Palm Pictures,3_5
64,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Documentary, Sports & Fitness","Paul Crowder, John Dower",Miramax,4_2_1_9_3_13_5_2_3_3_4_6
65,Requiem,"Art House & International, Drama, Horror, Mystery & Suspense",Hans-Christian Schmid,IFC First Take,7
66,Gui si (Silk),"Art House & International, Horror, Mystery & Suspense",Chao-Bin Su,,3_2_6
67,Park,"Art House & International, Comedy, Drama",Kurt Voelker,Mello Pictures,4
68,The 4th Dimension,"Drama, Science Fiction & Fantasy","Tom Mattera, Dave Mazzoni",,3_3_9
69,"Bon Cop, Bad Cop","Action & Adventure, Comedy",Eric Canuel,Vivafilm,3_4_3_3
70,Amazing Grace,"Drama, Mystery & Suspense",Michael Apted,Samuel Goldwyn Films LLC,7_5
71,The Silence,"Action & Adventure, Drama, Mystery & Suspense, Television",Cate Shortland,,3_7
72,Cocaine Cowboys,Documentary,Billy Corben,Magnolia Pictures,7_7
73,Gone,"Horror, Mystery & Suspense",Ringan Ledwidge,United International,4
74,The Situation,"Drama, Mystery & Suspense",Philip Haas,Shadow Distribution,3_9
75,Snow Blind,"Documentary, Sports & Fitness",Christopher J. Scott,Matson Films,4_5
76,Four Sheets to the Wind,"Art House & International, Drama",Sterlin Harjo,First Look Home Entertainment,4_6_2_3_4
77,The Tiger's Tail,"Comedy, Drama, Mystery & Suspense",John Boorman,Buena Vista,3_7_4
78,It's a Boy Girl Thing,"Comedy, Romance",Nick Hurran,Anchor Bay Entertainment,4_1_3_4_5
79,Slipstream,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",Anthony Hopkins,Strand Releasing,10
80,Delirious,"Comedy, Drama",Tom DiCillo,Peace Arch Films,9
81,Interview,"Art House & International, Drama",Steve Buscemi,Sony Classics,9
82,American Anthem,"Action & Adventure, Documentary, Drama",Albert Magnoli,Lorimar Home Video,8_6
83,The Ten,Comedy,David Wain,ThinkFilm,3_3
84,The Happening,"Drama, Mystery & Suspense, Science Fiction & Fantasy",M. Night Shyamalan,20th Century Fox,3_9
85,Moli�re,Comedy,"Laurent Tirard, Laurent Sivot",Sony Pictures Classics,7
86,Straightheads (Closure),"Drama, Mystery & Suspense",Dan Reed,Sony Pictures Entertainment,13_9
87,Borderland,"Drama, Horror, Mystery & Suspense",Zev Berman,After Dark Films,10
88,Spiral,"Drama, Mystery & Suspense","Adam Green, Joel David Moore",Anchor Bay Entertainment,6
89,Alexandra,Drama,Aleksandr Sokurov,The Cinema Guild,9
90,Blood and Tears: The Arab-Israeli Conflict,Documentary,Isidore Rosmarin,ThinkFilm,5_3_6_3_12_8
91,The Cool School,"Documentary, Musical & Performing Arts",Morgan Neville,Arthouse Films,3_4_6
92,Pathology,"Drama, Mystery & Suspense","Marc Scholermann, Marc Schoelermann",MGM,9
93,Disney's A Christmas Carol,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",Robert Zemeckis,Walt Disney Studios,8_1_9_5
94,Deep Water,"Documentary, Special Interest","Louise Osmond, Jerry Rothwell",IFC Films,4_5
95,Road to Victory,"Art House & International, Drama, Sports & Fitness",Mike Reilly,Vanguard,4_2_7
96,Beverly Hills Chihuahua,Comedy,Raja Gosnell,Walt Disney Pictures,7_5_9
97,Fireflies in the Garden,Drama,Dennis Lee (III),Senator Entertainment,9_2_3_6
98,The Eye,"Drama, Horror, Mystery & Suspense","David Moreau, Xavier Palud",Lionsgate Films,3_3
99,Day of the Dead,"Horror, Mystery & Suspense",Steve Miner,First Look International,3_2_3_4
100,My Best Friend's Girl,"Comedy, Drama",Howard Deutch,Lionsgate,2_4_8_4
101,The Burrowers,"Horror, Mystery & Suspense, Western",J.T. Petty,Lions Gate Films,3_9
102,The Midnight Meat Train,"Drama, Horror, Mystery & Suspense",Ryuhei Kitamura,Lionsgate Films,3_8_4_5
103,The Lucky Ones,"Comedy, Drama",Neil Burger,Lionsgate,3_5_4
104,Run Fatboy Run,Comedy,David Schwimmer,Picturehouse,3_6_3
105,Closing Escrow,Comedy,"Armen Kaprelian, Kent G. Llewellyn, Kent Llewellyn",Magnolia Pictures,7_6
106,Whiteout,"Action & Adventure, Drama, Mystery & Suspense",Dominic Sena,Warner Bros. Pictures,8
107,Randy and the Mob,"Comedy, Documentary",Ray McKinnon,Capricorn Pictures,5_3_3_3
108,Black Irish,Drama,Brad Gann,Anywhere,5_5
109,Wild Child,Comedy,"Nicholas Moore, Nick Moore",Universal Pictures,4_5
110,Powder Blue,Drama,Timothy Linh Bui,Speakeasy Releasing,6_4
111,King Corn,"Documentary, Musical & Performing Arts, Special Interest","Curt Ellis, Ian Cheney, Aaron Woolf",Balcony Releasing,4_4
112,L' Avocat de la Terreur (Terror's Advocate),"Art House & International, Documentary, Special Interest",Barbet Schroeder,Magnolia Pictures,2_6_2_2_7_9_9
113,Darfur Now,"Documentary, Drama, Musical & Performing Arts, Special Interest","Ted Braun, Theodore Braun",Warner Independent Pictures,6_3
114,Laaga Chunari Mein Daag - Journey of a Woman,"Art House & International, Drama",Pradeep Sarkar,Yash Raj Films,5_7_4_4_1_7_2_1_5
115,Rails & Ties,Drama,Alison Eastwood,Warner Independent,5_1_4
116,Mr. Untouchable,Documentary,Marc Levin,Magnolia Pictures,3_11
117,House,"Drama, Horror, Mystery & Suspense",Robby Henson,Roadside Attractions,5
118,Canvas,Drama,Joseph Greco,Screen Media Films,6
119,Skid Row,"Documentary, Special Interest","Ross Clarke, Niva Dorell, Marshall Tyler",Screen Media Films,4_3
120,Saawariya,"Art House & International, Drama, Musical & Performing Arts, Romance",Sanjay Leela Bhansali,Sony Pictures,9
121,Aaja Nachle,"Art House & International, Drama, Musical & Performing Arts, Romance",Anil Mehta,Yash Raj Films,4_6
122,Flawless,"Drama, Mystery & Suspense",Michael Radford,Magnolia Pictures,8
123,What Happens in Vegas,"Comedy, Romance",Tom Vaughan,20th Century Fox,4_7_2_5
124,Appaloosa,"Action & Adventure, Western",Ed Harris,Warner Bros. Pictures,9
125,Good,Drama,Vicente Amorim,ThinkFilm,4
