guessWord,genreHint,directorsHint,studioHint
Percy Jackson & the Olympians: The Lightning Thief,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,20th Century Fox
Please Give,Comedy,Nicole Holofcener,Sony Pictures Classics
10,"Comedy, Romance",Blake Edwards,Waner Bros.
12 Angry Men (Twelve Angry Men),"Classics, Drama",Sidney Lumet,Criterion Collection
"20,000 Leagues Under The Sea","Action & Adventure, Drama, Kids & Family",Richard Fleischer,Disney
"10,000 B.C.","Action & Adventure, Classics, Drama",Roland Emmerich,Warner Bros. Pictures
The 39 Steps,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,Gaumont British Distributors
3:10 to Yuma,"Classics, Drama, Western",Delmer Daves,Columbia Pictures
Charly (A Heartbeat Away),"Comedy, Drama, Romance",Adam Thomas Anderegg,Excel Entertainment
Abraham Lincoln,"Classics, Drama",D.W. Griffith,United Artists
Dark Water,"Art House & International, Horror, Mystery & Suspense",Hideo Nakata,Toho Company Ltd
The Accused,"Drama, Mystery & Suspense",Jonathan Kaplan,Paramount Pictures
The Lost City,Drama,Andy Garcia,Magnolia Pictures
The Breaking Point,Drama,Michael Curtiz,Warner Home Video
Adam's Rib,"Classics, Comedy, Romance",George Cukor,MGM Home Entertainment
The Bridge of San Luis Rey,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,Fine Line Features
The Prowler (Cost of Living ),"Drama, Mystery & Suspense",Joseph Losey,VCI Entertainment
Criminal,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs",Warner Bros. Pictures
The Adventures of Mark Twain,"Action & Adventure, Animation, Kids & Family",Will Vinton,Eureka Entertainment Ltd
Deep Blue,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill",Miramax Flims
The Adventures of Robin Hood,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley",Warner Bros.
Man Hunt,"Classics, Drama, Mystery & Suspense",Fritz Lang,Twentieth Century Fox
Dead End,"Comedy, Horror, Mystery & Suspense","Jean-Baptiste Andrea, Fabrice Canepa, Jean-Bapiste Andrea",LionsGate Entertainment
Bandwagon,Comedy,John Schultz,Avalanche Entertainment
Whore,"Art House & International, Drama",María Lidón,Dolores Pictures LLC
Tristan & Isolde,"Drama, Science Fiction & Fantasy, Romance",Kevin Reynolds,20th Century Fox
Wild Side,"Art House & International, Drama",Sébastien Lifshitz,Wellspring
A Tale of Two Pizzas,Comedy,Vincent Sassone,
Running Scared,"Action & Adventure, Drama, Mystery & Suspense",Wayne Kramer,New Line Cinema
Going the Distance,Comedy,Mark Griffiths,Séville Pictures
Ultraviolet,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Kurt Wimmer,Sony Pictures
Home of the Brave,"Action & Adventure, Documentary, Drama, Special Interest",Paola di Florio,Emerging Pictures
Arthur and the Invisibles (Arthur and the Minimoys),"Animation, Kids & Family, Science Fiction & Fantasy",Luc Besson,MGM
Malevolence,Horror,Stevan Mena,Anchor Bay Entertainment
Eternal,"Horror, Mystery & Suspense","Wilhelm Liebenberg, Federico Sanchez",Regent Releasing
A Farewell To Arms,"Classics, Drama, Romance","Charles Vidor, John Hudson, John Huston",Fox
The Narrow Margin,"Classics, Drama, Mystery & Suspense",Richard Fleischer,Warner Home Video
The Matador,"Action & Adventure, Comedy, Drama, Mystery & Suspense","Bob Yari, Richard Shepard",The Weinstein Company
Smile,"Art House & International, Comedy, Drama","Jeff Kramer, Jeffrey Kramer",Dark Forest Releasing
The Intruder (L'Intrus),"Art House & International, Drama",Claire Denis,Wellspring
Saint Ralph,"Comedy, Drama",Michael McGowan,IDP
The Baxter,"Comedy, Romance",Michael Showalter,IFC Films
Oliver Twist,"Drama, Kids & Family",Roman Polanski,Sony Pictures
The Alamo,"Action & Adventure, Classics, Drama, Western",John Wayne,Batjac Productions
G,"Drama, Romance",Christopher Scott Cherot,Slow Hand Cinema
Alexander the Great,Classics,Robert Rossen,United Artists
Alfie,"Classics, Comedy, Drama, Romance",Lewis Gilbert,Paramount Pictures
Neverwas,"Drama, Mystery & Suspense",Joshua Michael Stern,Senator Film
The Second Chance,"Drama, Faith & Spirituality",Steve Taylor,Sony Pictures
Moonlight,"Drama, Mystery & Suspense",Paula Van der Oest,Indican Pictures
Aliens,"Action & Adventure, Horror, Science Fiction & Fantasy",James Cameron,20th Century Fox
Rise: Blood Hunter,"Horror, Mystery & Suspense",Sebastian Gutierrez,IDP Distribution
All About Eve,"Classics, Drama",Joseph L. Mankiewicz,20th Century Fox
When Do We Eat?,Comedy,Salvador Litvak,ThinkFilm
The Mostly Unfabulous Social Life of Ethan Green,"Comedy, Drama",George Bamber,Regent Releasing
Dirty,Drama,Chris Fisher,SNP Inc.
Stay Alive,"Horror, Mystery & Suspense",William Brent Bell,Buena Vista
All of Me,"Comedy, Science Fiction & Fantasy",Carl Reiner,HBO Video
All Quiet on the Western Front,Drama,Delbert Mann,Unknown
Dreamland,"Art House & International, Drama",Jason Matzner,Dreamland Motion Picture Co.
Independent Lens,"Documentary, Special Interest","Mark Francis, Marc Francis, Nick Francis",California Newsreel
All the King's Men,"Classics, Drama",Robert Rossen,Sony Pictures Home Entertainment
Street Fight,"Documentary, Special Interest",Marshall Curry,Marshall Curry Productions
The Motel,"Comedy, Drama",Michael Kang,Palm Pictures
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Documentary, Sports & Fitness","Paul Crowder, John Dower",Miramax
Requiem,"Art House & International, Drama, Horror, Mystery & Suspense",Hans-Christian Schmid,IFC First Take
Gui si (Silk),"Art House & International, Horror, Mystery & Suspense",Chao-Bin Su,
Park,"Art House & International, Comedy, Drama",Kurt Voelker,Mello Pictures
The 4th Dimension,"Drama, Science Fiction & Fantasy","Tom Mattera, Dave Mazzoni",
"Bon Cop, Bad Cop","Action & Adventure, Comedy",Eric Canuel,Vivafilm
Amazing Grace,"Drama, Mystery & Suspense",Michael Apted,Samuel Goldwyn Films LLC
The Silence,"Action & Adventure, Drama, Mystery & Suspense, Television",Cate Shortland,
Cocaine Cowboys,Documentary,Billy Corben,Magnolia Pictures
Gone,"Horror, Mystery & Suspense",Ringan Ledwidge,United International
The Situation,"Drama, Mystery & Suspense",Philip Haas,Shadow Distribution
Snow Blind,"Documentary, Sports & Fitness",Christopher J. Scott,Matson Films
Four Sheets to the Wind,"Art House & International, Drama",Sterlin Harjo,First Look Home Entertainment
The Tiger's Tail,"Comedy, Drama, Mystery & Suspense",John Boorman,Buena Vista
It's a Boy Girl Thing,"Comedy, Romance",Nick Hurran,Anchor Bay Entertainment
Slipstream,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",Anthony Hopkins,Strand Releasing
Delirious,"Comedy, Drama",Tom DiCillo,Peace Arch Films
Interview,"Art House & International, Drama",Steve Buscemi,Sony Classics
American Anthem,"Action & Adventure, Documentary, Drama",Albert Magnoli,Lorimar Home Video
The Ten,Comedy,David Wain,ThinkFilm
The Happening,"Drama, Mystery & Suspense, Science Fiction & Fantasy",M. Night Shyamalan,20th Century Fox
Molière,Comedy,"Laurent Tirard, Laurent Sivot",Sony Pictures Classics
Straightheads (Closure),"Drama, Mystery & Suspense",Dan Reed,Sony Pictures Entertainment
Borderland,"Drama, Horror, Mystery & Suspense",Zev Berman,After Dark Films
Spiral,"Drama, Mystery & Suspense","Adam Green, Joel David Moore",Anchor Bay Entertainment
Alexandra,Drama,Aleksandr Sokurov,The Cinema Guild
Blood and Tears: The Arab-Israeli Conflict,Documentary,Isidore Rosmarin,ThinkFilm
The Cool School,"Documentary, Musical & Performing Arts",Morgan Neville,Arthouse Films
Pathology,"Drama, Mystery & Suspense","Marc Scholermann, Marc Schoelermann",MGM
Disney's A Christmas Carol,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",Robert Zemeckis,Walt Disney Studios
Deep Water,"Documentary, Special Interest","Louise Osmond, Jerry Rothwell",IFC Films
Road to Victory,"Art House & International, Drama, Sports & Fitness",Mike Reilly,Vanguard
Beverly Hills Chihuahua,Comedy,Raja Gosnell,Walt Disney Pictures
Fireflies in the Garden,Drama,Dennis Lee (III),Senator Entertainment
The Eye,"Drama, Horror, Mystery & Suspense","David Moreau, Xavier Palud",Lionsgate Films
Day of the Dead,"Horror, Mystery & Suspense",Steve Miner,First Look International
My Best Friend's Girl,"Comedy, Drama",Howard Deutch,Lionsgate
The Burrowers,"Horror, Mystery & Suspense, Western",J.T. Petty,Lions Gate Films
The Midnight Meat Train,"Drama, Horror, Mystery & Suspense",Ryuhei Kitamura,Lionsgate Films
The Lucky Ones,"Comedy, Drama",Neil Burger,Lionsgate
Run Fatboy Run,Comedy,David Schwimmer,Picturehouse
Closing Escrow,Comedy,"Armen Kaprelian, Kent G. Llewellyn, Kent Llewellyn",Magnolia Pictures
Whiteout,"Action & Adventure, Drama, Mystery & Suspense",Dominic Sena,Warner Bros. Pictures
